index,action
0,4
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,2
13,2
14,2
15,1
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,2
29,2
30,2
31,2
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,2
45,2
46,2
47,2
48,4
49,4
50,4
51,1
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,1
61,2
62,2
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,2
205,2
206,2
207,2
208,4
209,4
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,2
221,2
222,2
223,2
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,2
237,2
238,2
239,2
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,4
252,2
253,2
254,2
255,1
256,1
257,4
258,4
259,1
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,4
268,2
269,2
270,2
271,3
272,2
273,2
274,2
275,2
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,4
297,4
298,4
299,4
300,2
301,2
302,2
303,2
304,4
305,4
306,4
307,3
308,4
309,4
310,4
311,4
312,4
313,4
314,4
315,4
316,3
317,2
318,2
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,4
329,4
330,4
331,4
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,4
343,3
344,4
345,4
346,4
347,4
348,3
349,3
350,3
351,3
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,4
361,4
362,4
363,4
364,2
365,2
366,2
367,2
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,3
376,4
377,4
378,4
379,4
380,3
381,3
382,3
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,3
392,4
393,4
394,4
395,4
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,3
408,4
409,4
410,4
411,3
412,3
413,3
414,3
415,3
416,2
417,2
418,2
419,3
420,2
421,2
422,2
423,3
424,4
425,4
426,4
427,3
428,2
429,2
430,2
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,3
440,4
441,4
442,4
443,3
444,3
445,3
446,3
447,3
448,2
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,4
457,4
458,4
459,4
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,4
469,4
470,4
471,4
472,4
473,4
474,4
475,4
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,4
489,4
490,4
491,4
492,2
493,2
494,2
495,2
496,4
497,4
498,4
499,4
500,4
501,4
502,4
503,4
504,4
505,4
506,4
507,4
508,2
509,2
510,2
511,1
512,2
513,2
514,2
515,3
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,2
525,2
526,2
527,3
528,2
529,2
530,2
531,3
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,2
541,2
542,2
543,3
544,2
545,2
546,2
547,3
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,2
557,2
558,2
559,3
560,1
561,2
562,2
563,1
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,2
573,2
574,2
575,3
576,3
577,2
578,2
579,3
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,3
589,2
590,2
591,3
592,3
593,2
594,2
595,3
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,3
605,3
606,2
607,3
608,3
609,2
610,2
611,3
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,3
621,2
622,2
623,3
624,3
625,3
626,2
627,3
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,3
637,2
638,2
639,3
640,3
641,3
642,2
643,3
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,3
653,3
654,3
655,3
656,3
657,3
658,3
659,3
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,3
669,3
670,2
671,3
672,3
673,3
674,2
675,3
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,3
685,3
686,2
687,3
688,3
689,3
690,3
691,3
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,3
701,3
702,2
703,3
704,2
705,2
706,2
707,1
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,2
717,2
718,2
719,2
720,2
721,2
722,2
723,2
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,2
733,2
734,2
735,2
736,2
737,2
738,2
739,2
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,2
749,2
750,2
751,2
752,1
753,2
754,2
755,1
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,2
765,2
766,2
767,1
768,4
769,4
770,4
771,1
772,4
773,4
774,4
775,1
776,4
777,4
778,4
779,1
780,4
781,4
782,4
783,1
784,4
785,4
786,4
787,4
788,4
789,4
790,4
791,4
792,4
793,4
794,4
795,4
796,4
797,4
798,4
799,4
800,4
801,4
802,4
803,4
804,4
805,4
806,4
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,4
816,1
817,4
818,4
819,1
820,1
821,4
822,4
823,1
824,1
825,4
826,4
827,1
828,1
829,2
830,2
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,4
865,4
866,4
867,4
868,4
869,4
870,4
871,4
872,4
873,4
874,4
875,4
876,4
877,4
878,4
879,4
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,4
929,4
930,4
931,1
932,4
933,4
934,4
935,1
936,4
937,4
938,4
939,1
940,4
941,4
942,4
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,4
961,4
962,4
963,4
964,4
965,4
966,4
967,4
968,4
969,4
970,4
971,4
972,4
973,4
974,4
975,4
976,4
977,4
978,4
979,4
980,4
981,4
982,4
983,4
984,4
985,4
986,4
987,4
988,4
989,4
990,4
991,4
992,4
993,4
994,4
995,4
996,4
997,4
998,4
999,4
1000,4
1001,4
1002,4
1003,4
1004,4
1005,4
1006,4
1007,4
1008,4
1009,4
1010,4
1011,1
1012,4
1013,4
1014,4
1015,1
1016,4
1017,4
1018,4
1019,1
1020,2
1021,2
1022,2
1023,1
1024,4
1025,2
1026,4
1027,1
1028,1
1029,4
1030,4
1031,1
1032,1
1033,4
1034,4
1035,1
1036,1
1037,2
1038,2
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,1
1073,2
1074,4
1075,1
1076,1
1077,4
1078,4
1079,1
1080,1
1081,4
1082,4
1083,1
1084,2
1085,2
1086,2
1087,1
1088,1
1089,1
1090,4
1091,1
1092,1
1093,1
1094,4
1095,1
1096,1
1097,4
1098,4
1099,1
1100,1
1101,1
1102,2
1103,1
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,1
1137,1
1138,4
1139,1
1140,1
1141,4
1142,4
1143,1
1144,1
1145,1
1146,4
1147,1
1148,1
1149,2
1150,2
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,4
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,2
1215,1
1216,4
1217,2
1218,4
1219,1
1220,1
1221,4
1222,4
1223,1
1224,4
1225,4
1226,4
1227,1
